Подразделение;Название скважины;Дата замера;Тип замера;Минимальное значение замера;Максимальное значение замера;Количество замеров
Восточный участок;Скважина-1-1;30.01.2026;Давление на приеме насоса;80,0428;99,2483;103
Восточный участок;Скважина-1-1;30.01.2026;Забойное давление;100,3902;149,7786;103
Восточный участок;Скважина-1-1;30.01.2026;Пластовое давление;150,0901;179,6478;103
Восточный участок;Скважина-1-1;31.01.2026;Давление на приеме насоса;80,2882;99,9452;103
Восточный участок;Скважина-1-1;31.01.2026;Забойное давление;100,5132;149,8395;103
Восточный участок;Скважина-1-1;31.01.2026;Пластовое давление;150,0114;179,8844;103
Восточный участок;Скважина-1-1;01.02.2026;Давление на приеме насоса;80,2472;99,6871;103
Восточный участок;Скважина-1-1;01.02.2026;Забойное давление;100,2888;149,9015;103
Восточный участок;Скважина-1-1;01.02.2026;Пластовое давление;150,6629;179,6463;103
Восточный участок;Скважина-1-1;02.02.2026;Давление на приеме насоса;80,0079;99,2963;103
Восточный участок;Скважина-1-1;02.02.2026;Забойное давление;100,0846;149,5587;103
Восточный участок;Скважина-1-1;02.02.2026;Пластовое давление;150,1737;178,9384;103
Восточный участок;Скважина-1-1;03.02.2026;Давление на приеме насоса;80,3264;99,4637;103
Восточный участок;Скважина-1-1;03.02.2026;Забойное давление;100,0178;149,6895;103
Восточный участок;Скважина-1-1;03.02.2026;Пластовое давление;150,5342;179,8302;103
Восточный участок;Скважина-1-2;30.01.2026;Давление на приеме насоса;80,1840;99,7926;103
Восточный участок;Скважина-1-2;30.01.2026;Забойное давление;100,3494;149,8431;103
Восточный участок;Скважина-1-2;30.01.2026;Пластовое давление;150,2194;179,7838;103
Восточный участок;Скважина-1-2;31.01.2026;Давление на приеме насоса;80,3861;99,8880;103
Восточный участок;Скважина-1-2;31.01.2026;Забойное давление;100,6086;149,6527;103
Восточный участок;Скважина-1-2;31.01.2026;Пластовое давление;150,6733;179,7096;103
Восточный участок;Скважина-1-2;01.02.2026;Давление на приеме насоса;80,3846;99,8548;103
Восточный участок;Скважина-1-2;01.02.2026;Забойное давление;100,3126;149,7617;103
Восточный участок;Скважина-1-2;01.02.2026;Пластовое давление;150,0863;179,7359;103
Восточный участок;Скважина-1-2;02.02.2026;Давление на приеме насоса;80,2606;99,9312;103
Восточный участок;Скважина-1-2;02.02.2026;Забойное давление;100,0599;149,3234;103
Восточный участок;Скважина-1-2;02.02.2026;Пластовое давление;150,2080;179,9381;103
Восточный участок;Скважина-1-2;03.02.2026;Давление на приеме насоса;80,2450;99,8892;103
Восточный участок;Скважина-1-2;03.02.2026;Забойное давление;100,1661;149,2701;103
Восточный участок;Скважина-1-2;03.02.2026;Пластовое давление;150,0770;179,8437;103
Восточный участок;Скважина-1-3;30.01.2026;Давление на приеме насоса;80,1046;99,6583;103
Восточный участок;Скважина-1-3;30.01.2026;Забойное давление;100,0159;149,8265;103
Восточный участок;Скважина-1-3;30.01.2026;Пластовое давление;150,7672;179,9438;103
Восточный участок;Скважина-1-3;31.01.2026;Давление на приеме насоса;80,0106;99,9764;103
Восточный участок;Скважина-1-3;31.01.2026;Забойное давление;100,2780;149,7983;103
Восточный участок;Скважина-1-3;31.01.2026;Пластовое давление;150,0367;179,9752;103
Восточный участок;Скважина-1-3;01.02.2026;Давление на приеме насоса;80,1057;99,9874;103
Восточный участок;Скважина-1-3;01.02.2026;Забойное давление;100,3177;149,9306;103
