Подразделение;Название скважины;Дата замера;Тип замера;Минимальное значение замера;Максимальное значение замера;Количество замеров
Восточный участок;Скважина-1-1;03.02.2026;Давление на приеме насоса;80,3264;99,4637;103
Восточный участок;Скважина-1-1;03.02.2026;Забойное давление;100,0178;149,6895;103
Восточный участок;Скважина-1-1;03.02.2026;Пластовое давление;150,5342;179,8302;103
Восточный участок;Скважина-1-2;03.02.2026;Давление на приеме насоса;80,2450;99,8892;103
Восточный участок;Скважина-1-2;03.02.2026;Забойное давление;100,1661;149,2701;103
Восточный участок;Скважина-1-2;03.02.2026;Пластовое давление;150,0770;179,8437;103
Восточный участок;Скважина-1-3;03.02.2026;Давление на приеме насоса;80,1797;99,5422;103
Восточный участок;Скважина-1-3;03.02.2026;Забойное давление;100,6498;149,4358;103
Восточный участок;Скважина-1-3;03.02.2026;Пластовое давление;150,5245;179,7216;103
Восточный участок;Скважина-1-4;03.02.2026;Давление на приеме насоса;80,0208;99,8723;103
Восточный участок;Скважина-1-4;03.02.2026;Забойное давление;100,4733;149,2558;103
Восточный участок;Скважина-1-4;03.02.2026;Пластовое давление;150,1442;179,6473;103
Восточный участок;Скважина-1-5;03.02.2026;Давление на приеме насоса;80,0457;99,7830;103
Восточный участок;Скважина-1-5;03.02.2026;Забойное давление;100,2168;149,7581;103
Восточный участок;Скважина-1-5;03.02.2026;Пластовое давление;150,0207;179,6459;103
Западный участок;Скважина-2-1;03.02.2026;Давление на приеме насоса;80,0048;99,6922;103
Западный участок;Скважина-2-1;03.02.2026;Забойное давление;101,4031;149,5443;103
Западный участок;Скважина-2-1;03.02.2026;Пластовое давление;150,7556;179,1396;103
Западный участок;Скважина-2-2;03.02.2026;Давление на приеме насоса;80,1045;99,9836;103
Западный участок;Скважина-2-2;03.02.2026;Забойное давление;100,1032;148,9213;103
Западный участок;Скважина-2-2;03.02.2026;Пластовое давление;150,4574;179,8399;103
Западный участок;Скважина-2-3;03.02.2026;Давление на приеме насоса;80,0642;99,9202;103
Западный участок;Скважина-2-3;03.02.2026;Забойное давление;101,9186;149,9331;103
Западный участок;Скважина-2-3;03.02.2026;Пластовое давление;150,2747;179,8652;103
Западный участок;Скважина-2-4;03.02.2026;Давление на приеме насоса;80,0309;99,7487;103
Западный участок;Скважина-2-4;03.02.2026;Забойное давление;100,3786;149,3153;103
Западный участок;Скважина-2-4;03.02.2026;Пластовое давление;150,4239;179,6182;103
Западный участок;Скважина-2-5;03.02.2026;Давление на приеме насоса;80,4238;99,9938;103
Западный участок;Скважина-2-5;03.02.2026;Забойное давление;101,0255;149,8346;103
Западный участок;Скважина-2-5;03.02.2026;Пластовое давление;150,1446;179,4938;103
Северный участок;Скважина-3-1;03.02.2026;Давление на приеме насоса;80,3777;99,9978;103
Северный участок;Скважина-3-1;03.02.2026;Забойное давление;100,1713;149,7918;103
Северный участок;Скважина-3-1;03.02.2026;Пластовое давление;150,0425;179,8565;103
Северный участок;Скважина-3-2;03.02.2026;Давление на приеме насоса;80,3387;99,4582;103
Северный участок;Скважина-3-2;03.02.2026;Забойное давление;100,7088;149,5922;103
Северный участок;Скважина-3-2;03.02.2026;Пластовое давление;150,2602;179,9561;103
Северный участок;Скважина-3-3;03.02.2026;Давление на приеме насоса;80,1160;99,8529;103
Северный участок;Скважина-3-3;03.02.2026;Забойное давление;100,5844;149,9114;103
Северный участок;Скважина-3-3;03.02.2026;Пластовое давление;150,5329;179,9921;103
Северный участок;Скважина-3-4;03.02.2026;Давление на приеме насоса;80,0229;99,9319;103
Северный участок;Скважина-3-4;03.02.2026;Забойное давление;100,0234;149,6658;103
Северный участок;Скважина-3-4;03.02.2026;Пластовое давление;150,1905;179,8477;103
Северный участок;Скважина-3-5;03.02.2026;Давление на приеме насоса;81,4359;99,9204;103
Северный участок;Скважина-3-5;03.02.2026;Забойное давление;100,2891;149,4346;103
Северный участок;Скважина-3-5;03.02.2026;Пластовое давление;150,0851;179,8359;103
Южный участок;Скважина-4-1;03.02.2026;Давление на приеме насоса;80,0370;99,9502;103
Южный участок;Скважина-4-1;03.02.2026;Забойное давление;100,4986;148,7968;103
Южный участок;Скважина-4-1;03.02.2026;Пластовое давление;150,2790;179,1574;103
Южный участок;Скважина-4-2;03.02.2026;Давление на приеме насоса;80,0504;99,9307;103
Южный участок;Скважина-4-2;03.02.2026;Забойное давление;100,1466;149,1167;103
Южный участок;Скважина-4-2;03.02.2026;Пластовое давление;150,0742;179,2051;103
Южный участок;Скважина-4-3;03.02.2026;Давление на приеме насоса;80,4666;99,5983;103
Южный участок;Скважина-4-3;03.02.2026;Забойное давление;100,1508;149,4987;103
Южный участок;Скважина-4-3;03.02.2026;Пластовое давление;150,3065;179,5263;103
Южный участок;Скважина-4-4;03.02.2026;Давление на приеме насоса;80,1077;99,9786;103
Южный участок;Скважина-4-4;03.02.2026;Забойное давление;100,4458;149,6641;103
Южный участок;Скважина-4-4;03.02.2026;Пластовое давление;150,2442;179,7183;103
Южный участок;Скважина-4-5;03.02.2026;Давление на приеме насоса;80,7529;99,9730;103
Южный участок;Скважина-4-5;03.02.2026;Забойное давление;100,5742;149,6679;103
Южный участок;Скважина-4-5;03.02.2026;Пластовое давление;150,2330;179,5555;103
